subject,acc_mean,acc_std,f1_macro_mean,f1_macro_std,bal_acc_mean,k,n_classes,crop,n_chans,input_window_seconds,sfreq,drop_prob,n_epochs
S043,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S044,0.2529411764705882,0.02161314478926334,0.10082251082251081,0.006751581546279447,0.2529411764705882,5,4,"(0.5, 4.5)",8,4.0,160,0.5,83
S045,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S046,0.2333333333333333,0.022222222222222227,0.09446640316205535,0.007114624505928852,0.2333333333333333,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S047,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S048,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S049,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S050,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S051,0.2666666666666667,0.022222222222222233,0.1051383399209486,0.007114624505928852,0.2666666666666667,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S052,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S053,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S054,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S055,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S056,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S057,0.2666666666666667,0.022222222222222233,0.1051383399209486,0.007114624505928852,0.2666666666666667,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S058,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S059,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S060,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S061,0.2333333333333333,0.02222222222222223,0.09446640316205535,0.007114624505928852,0.2333333333333333,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S062,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S063,0.2529411764705882,0.02161314478926334,0.10082251082251081,0.006751581546279447,0.2529411764705882,5,4,"(0.5, 4.5)",8,4.0,160,0.5,83
S064,0.26470588235294124,0.030235381715608838,0.10442311311876531,0.009539558794091225,0.26470588235294124,5,4,"(0.5, 4.5)",8,4.0,160,0.5,87
S065,0.25555555555555554,0.027216552697590882,0.10158102766798419,0.008713599875513279,0.25555555555555554,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S066,0.2333333333333333,0.022222222222222227,0.09446640316205535,0.007114624505928852,0.2333333333333333,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S067,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S068,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S069,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S070,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S071,0.24444444444444446,0.027216552697590882,0.09802371541501975,0.008713599875513279,0.24444444444444446,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S072,0.23529411764705882,0.0,0.09523809523809523,0.0,0.23529411764705882,5,4,"(0.5, 4.5)",8,4.0,160,0.5,85
S073,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S074,0.23529411764705882,0.0,0.09523809523809523,0.0,0.23529411764705882,5,4,"(0.5, 4.5)",8,4.0,160,0.5,85
S075,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S076,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S077,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S078,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S079,0.22745098039215686,0.006403894752374326,0.09264069264069263,0.002120770340072012,0.22745098039215686,5,4,"(0.5, 4.5)",8,4.0,160,0.5,88
S080,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S081,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S082,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S083,0.2333333333333333,0.02222222222222223,0.09446640316205535,0.007114624505928852,0.2333333333333333,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S084,0.2529411764705882,0.02161314478926334,0.10082251082251081,0.006751581546279447,0.2529411764705882,5,4,"(0.5, 4.5)",8,4.0,160,0.5,83
S085,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S086,0.2581699346405229,0.024367780238310138,0.10244682853378506,0.007774684763782221,0.2581699346405229,5,4,"(0.5, 4.5)",8,4.0,160,0.5,89
S087,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S090,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S091,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S093,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S094,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S095,0.24444444444444446,0.027216552697590882,0.09802371541501978,0.008713599875513279,0.24444444444444446,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S096,0.22745098039215686,0.006403894752374326,0.09264069264069263,0.002120770340072012,0.22745098039215686,5,4,"(0.5, 4.5)",8,4.0,160,0.5,88
S097,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S098,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S099,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S101,0.25555555555555554,0.027216552697590882,0.10158102766798419,0.008713599875513279,0.25555555555555554,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S102,0.23529411764705882,0.0,0.09523809523809523,0.0,0.23529411764705882,5,4,"(0.5, 4.5)",8,4.0,160,0.5,85
S103,0.2333333333333333,0.02222222222222223,0.09446640316205535,0.007114624505928852,0.2333333333333333,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S105,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S106,0.2666666666666667,0.022222222222222233,0.1051383399209486,0.007114624505928852,0.2666666666666667,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S107,0.2666666666666667,0.022222222222222233,0.1051383399209486,0.007114624505928852,0.2666666666666667,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S108,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S109,0.3333333333333333,0.045643546458763846,0.12454545454545454,0.013283308360184046,0.3333333333333333,5,4,"(0.5, 4.5)",8,4.0,160,0.5,42
GLOBAL,0.2451543562408782,0.014289517334555132,0.09831373847592104,0.0030680500366498777,0.2451543562408782,5,4,"(0.5, 4.5)",8,4.0,160,0.5,8748
