tag,fold,test_acc,test_f1_macro,val_best_acc,val_best_f1,tr_at_best_acc,tr_at_best_f1,gap_acc,gap_f1,gap_acc_abs,gap_f1_abs,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers,D_MODEL,N_LAYERS,BASE_LR,P_DROP,P_DROP_ENCODER,WARMUP_EPOCHS,PATIENCE
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.5_wu4_pat8,1,0.8253968253968254,0.8253887449092929,0.7936507936507936,0.7936424748793098,0.9157782515991472,0.9157773900788215,0.12212745794835356,0.1221349151995117,0.12212745794835356,0.1221349151995117,460130,460130,58823424,0.002307314872741699,121,128,4,3,128,3,0.001,0.2,0.5,4,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.5_wu4_pat12,1,0.8253968253968254,0.8253887449092929,0.7936507936507936,0.7936424748793098,0.9157782515991472,0.9157773900788215,0.12212745794835356,0.1221349151995117,0.12212745794835356,0.1221349151995117,460130,460130,58823424,0.002312793731689453,121,128,4,3,128,3,0.001,0.2,0.5,4,12
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.5_wu8_pat8,1,0.7936507936507936,0.7935828656959011,0.7857142857142857,0.7856878274213748,0.8816631130063965,0.8816552070094885,0.09594882729211085,0.09596737958811374,0.09594882729211085,0.09596737958811374,460130,460130,58823424,0.0023197221755981447,121,128,4,3,128,3,0.001,0.2,0.5,8,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.5_wu8_pat12,1,0.7936507936507936,0.7935828656959011,0.7857142857142857,0.7856878274213748,0.8816631130063965,0.8816552070094885,0.09594882729211085,0.09596737958811374,0.09594882729211085,0.09596737958811374,460130,460130,58823424,0.002311534881591797,121,128,4,3,128,3,0.001,0.2,0.5,8,12
GS_nb4_h2_d128_L3_lr1e-3_dp0.3_dpe0.1_wu4_pat8,1,0.7721088435374149,0.7714032981613699,0.7984126984126985,0.798229177962319,0.8795309168443497,0.8794584420827576,0.08111821843165123,0.08122926412043863,0.08111821843165123,0.08122926412043863,460130,460130,58823424,0.0023163700103759764,121,128,4,3,128,3,0.001,0.3,0.1,4,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.3_dpe0.1_wu4_pat12,1,0.7721088435374149,0.7714032981613699,0.7984126984126985,0.798229177962319,0.8795309168443497,0.8794584420827576,0.08111821843165123,0.08122926412043863,0.08111821843165123,0.08122926412043863,460130,460130,58823424,0.002329411506652832,121,128,4,3,128,3,0.001,0.3,0.1,4,12
GS_nb4_h2_d128_L3_lr1e-3_dp0.3_dpe0.1_wu8_pat8,1,0.7947845804988662,0.7947399888139581,0.7777777777777778,0.7776679841897234,0.8841506751954513,0.8841448228864252,0.10637289741767353,0.10647683869670177,0.10637289741767353,0.10647683869670177,460130,460130,58823424,0.0023389530181884767,121,128,4,3,128,3,0.001,0.3,0.1,8,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.3_dpe0.1_wu8_pat12,1,0.7947845804988662,0.7947399888139581,0.7777777777777778,0.7776679841897234,0.8841506751954513,0.8841448228864252,0.10637289741767353,0.10647683869670177,0.10637289741767353,0.10647683869670177,460130,460130,58823424,0.0023297357559204103,121,128,4,3,128,3,0.001,0.3,0.1,8,12
GS_nb4_h2_d128_L3_lr1e-3_dp0.3_dpe0.3_wu4_pat8,1,0.7959183673469388,0.7959141697989993,0.7873015873015873,0.7872672842181657,0.8624733475479744,0.8624606854346,0.07517176024638716,0.07519340121643425,0.07517176024638716,0.07519340121643425,460130,460130,58823424,0.0023220300674438475,121,128,4,3,128,3,0.001,0.3,0.3,4,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.3_dpe0.3_wu4_pat12,1,0.7959183673469388,0.7959141697989993,0.7873015873015873,0.7872672842181657,0.8624733475479744,0.8624606854346,0.07517176024638716,0.07519340121643425,0.07517176024638716,0.07519340121643425,460130,460130,58823424,0.0023096179962158203,121,128,4,3,128,3,0.001,0.3,0.3,4,12
GS_nb4_h2_d128_L3_lr1e-3_dp0.3_dpe0.3_wu8_pat8,1,0.7993197278911565,0.7992988302266653,0.7841269841269841,0.7841074020319303,0.8909026297085999,0.890900301284586,0.10677564558161579,0.10679289925265567,0.10677564558161579,0.10679289925265567,460130,460130,58823424,0.0023180770874023436,121,128,4,3,128,3,0.001,0.3,0.3,8,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.3_dpe0.3_wu8_pat12,1,0.7993197278911565,0.7992988302266653,0.7841269841269841,0.7841074020319303,0.8909026297085999,0.890900301284586,0.10677564558161579,0.10679289925265567,0.10677564558161579,0.10679289925265567,460130,460130,58823424,0.0023125553131103514,121,128,4,3,128,3,0.001,0.3,0.3,8,12
GS_nb4_h2_d128_L3_lr1e-3_dp0.3_dpe0.5_wu4_pat8,1,0.8072562358276644,0.8071927866390285,0.7793650793650794,0.7792977954982496,0.8592750533049041,0.8589357978781582,0.07990997393982469,0.07963800237990859,0.07990997393982469,0.07963800237990859,460130,460130,58823424,0.0023167037963867185,121,128,4,3,128,3,0.001,0.3,0.5,4,8
